pattern,replacement
TontitownGrape,Tontitown Grape
AbbsWinston,Abbs Winston
ShaunKing,Shaun King
MeekMill,Meek Mill
TornadoGiveaway,Tornado Giveaway
GRupdates,GR updates
SouthDowns,South Downs
braininjury,brain injury
auspol,Australian politics
PlannedParenthood,Planned Parenthood
calgaryweather,Calgary Weather
weallheartonedirection,we all heart one direction
edsheeran,Ed Sheeran
TrueHeroes,True Heroes
S3XLEAK,sex leak
ComplexMag,Complex Magazine
TheAdvocateMag,The Advocate Magazine
CityofCalgary,City of Calgary
EbolaOutbreak,Ebola Outbreak
SummerFate,Summer Fate
RAmag,Royal Academy Magazine
offers2go,offers to go
foodscare,food scare
MNPDNashville,Metropolitan Nashville Police Department
TfLBusAlerts,TfL Bus Alerts
GamerGate,Gamer Gate
IHHen,Humanitarian Relief
spinningbot,spinning bot
ModiMinistry,Modi Ministry
TAXIWAYS,taxi ways
Calum5SOS,Calum Hood
po_st,po.st
scoopit,scoop.it
UltimaLucha,Ultima Lucha
JonathanFerrell,Jonathan Ferrell
aria_ahrary,Aria Ahrary
rapidcity,Rapid City
OutBid,outbid
lavenderpoetrycafe,lavender poetry cafe
EudryLantiqua,Eudry Lantiqua
15PM,15 PM
OriginalFunko,Funko
rightwaystan,Richard Tan
CindyNoonan,Cindy Noonan
RT_America,RT America
narendramodi,Narendra Modi
BakeOffFriends,Bake Off Friends
TeamHendrick,Hendrick Motorsports
alexbelloli,Alex Belloli
itsjustinstuart,Justin Stuart
gunsense,gun sense
DebateQuestionsWeWantToHear,debate questions we want to hear
RoyalCarribean,Royal Carribean
samanthaturne19,Samantha Turner
JonVoyage,Jon Stewart
renew911health,renew 911 health
SuryaRay,Surya Ray
pattonoswalt,Patton Oswalt
minhazmerchant,Minhaz Merchant
TLVFaces,Israel Diaspora Coalition
pmarca,Marc Andreessen
pdx911,Portland Police
jamaicaplain,Jamaica Plain
Japton,Arkansas
RouteComplex,Route Complex
INSubcontinent,Indian Subcontinent
NJTurnpike,New Jersey Turnpike
Politifiact,PolitiFact
Hiroshima70,Hiroshima
GMMBC,Greater Mt Moriah Baptist Church
versethe,verse the
TubeStrike,Tube Strike
MissionHills,Mission Hills
ProtectDenaliWolves,Protect Denali Wolves
NANKANA,Nankana
SAHIB,Sahib
PAKPATTAN,Pakpattan
Newz_Sacramento,News Sacramento
gofundme,go fund me
pmharper,Stephen Harper
IvanBerroa,Ivan Berroa
LosDelSonido,Los Del Sonido
bancodeseries,banco de series
timkaine,Tim Kaine
IdentityTheft,Identity Theft
AllLivesMatter,All Lives Matter
mishacollins,Misha Collins
BillNeelyNBC,Bill Neely
BeClearOnCancer,be clear on cancer
Kowing,Knowing
ScreamQueens,Scream Queens
AskCharley,Ask Charley
BlizzHeroes,Heroes of the Storm
BradleyBrad47,Bradley Brad
HannaPH,Typhoon Hanna
meinlcymbals,MEINL Cymbals
Ptbo,Peterborough
cnnbrk,CNN Breaking News
IndianNews,Indian News
savebees,save bees
GreenHarvard,Green Harvard
StandwithPP,Stand with planned parenthood
hermancranston,Herman Cranston
WMUR9,WMUR-TV
RockBottomRadFM,Rock Bottom Radio
ameenshaikh3,Ameen Shaikh
ProSyn,Project Syndicate
Daesh,ISIS
s2g,swear to god
listenlive,listen live
CDCgov,Centers for Disease Control and Prevention
FoxNew,Fox News
CBSBigBrother,Big Brother
JulieDiCaro,Julie DiCaro
theadvocatemag,The Advocate Magazine
RohnertParkDPS,Rohnert Park Police Department
THISIZBWRIGHT,Bonnie Wright
Popularmmos,Popular MMOs
WildHorses,Wild Horses
FantasticFour,Fantastic Four
HORNDALE,Horndale
PINER,Piner
BathAndNorthEastSomerset,Bath and North East Somerset
thatswhatfriendsarefor,that is what friends are for
residualincome,residual income
YahooNewsDigest,Yahoo News Digest
MalaysiaAirlines,Malaysia Airlines
AmazonDeals,Amazon Deals
MissCharleyWebb,Charley Webb
shoalstraffic,shoals traffic
GeorgeFoster72,George Foster
pop2015,pop 2015
_PokemonCards_,Pokemon Cards
DianneG,Dianne Gallagher
KashmirConflict,Kashmir Conflict
BritishBakeOff,British Bake Off
FreeKashmir,Free Kashmir
mattmosley,Matt Mosley
BishopFred,Bishop Fred
EndConflict,End Conflict
EndOccupation,End Occupation
UNHEALED,unhealed
CharlesDagnall,Charles Dagnall
Latestnews,Latest news
KindleCountdown,Kindle Countdown
NoMoreHandouts,No More Handouts
datingtips,dating tips
charlesadler,Charles Adler
twia,Texas Windstorm Insurance Association
txlege,Texas Legislature
WindstormInsurer,Windstorm Insurer
Newss,News
hempoil,hemp oil
CommoditiesAre,Commodities are
tubestrike,tube strike
JoeNBC,Joe Scarborough
LiteraryCakes,Literary Cakes
TI5,The International 5
thehill,the hill
3others,3 others
stighefootball,Sam Tighe
whatstheimportantvideo,what is the important video
ClaudioMeloni,Claudio Meloni
DukeSkywalker,Duke Skywalker
carsonmwr,Fort Carson
offdishduty,off dish duty
andword,and word
rhodeisland,Rhode Island
easternoregon,Eastern Oregon
WAwildfire,Washington Wildfire
fingerrockfire,Finger Rock Fire
57am,57 am
JacobHoggard,Jacob Hoggard
newnewnew,new new new
under50,under 50
getitbeforeitsgone,get it before it is gone
freshoutofthebox,fresh out of the box
amwriting,am writing
Bokoharm,Boko Haram
Nowlike,Now like
seasonfrom,season from
epicente,epicenter
epicenterr,epicenter
sicklife,sick life
yycweather,Calgary Weather
calgarysun,Calgary Sun
approachng,approaching
evng,evening
Sumthng,something
EllenPompeo,Ellen Pompeo
shondarhimes,Shonda Rhimes
ABCNetwork,ABC Network
SushmaSwaraj,Sushma Swaraj
pray4japan,Pray for Japan
hope4japan,Hope for Japan
Illusionimagess,Illusion images
SummerUnderTheStars,Summer Under The Stars
ShallWeDance,Shall We Dance
TCMParty,TCM Party
marijuananews,marijuana news
onbeingwithKristaTippett,on being with Krista Tippett
Beingtweets,Being tweets
newauthors,new authors
remedyyyy,remedy
44PM,44 PM
HeadlinesApp,Headlines App
40PM,40 PM
myswc,Severe Weather Center
ithats,that is
icouldsitinthismomentforever,I could sit in this moment forever
FatLoss,Fat Loss
02PM,02 PM
MetroFmTalk,Metro Fm Talk
Bstrd,bastard
bldy,bloody
MetrofmTalk,Metro Fm Talk
terrorismturn,terrorism turn
BBCNewsAsia,BBC News Asia
BehindTheScenes,Behind The Scenes
GeorgeTakei,George Takei
WomensWeeklyMag,Womens Weekly Magazine
SurvivorsGuidetoEarth,Survivors Guide to Earth
incubusband,incubus band
Babypicturethis,Baby picture this
BombEffects,Bomb Effects
win10,Windows 10
idkidk,I do not know I do not know
TheWalkingDead,The Walking Dead
amyschumer,Amy Schumer
crewlist,crew list
Erdogans,Erdogan
BBCLive,BBC Live
TonyAbbottMHR,Tony Abbott
paulmyerscough,Paul Myerscough
georgegallagher,George Gallagher
JimmieJohnson,Jimmie Johnson
pctool,pc tool
DoingHashtagsRight,Doing Hashtags Right
ThrowbackThursday,Throwback Thursday
SnowBackSunday,Snowback Sunday
LakeEffect,Lake Effect
RTphotographyUK,Richard Thomas Photography UK
BigBang_CBS,Big Bang CBS
writerslife,writers life
NaturalBirth,Natural Birth
UnusualWords,Unusual Words
wizkhalifa,Wiz Khalifa
acreativedc,a creative DC
vscodc,vsco DC
VSCOcam,vsco camera
TheBEACHDC,The beach DC
buildingmuseum,building museum
WorldOil,World Oil
redwedding,red wedding
AmazingRaceCanada,Amazing Race Canada
WakeUpAmerica,Wake Up America
\Allahuakbar\,Allahu Akbar
bleased,blessed
nigeriantribune,Nigerian Tribune
HIDEO_KOJIMA_EN,Hideo Kojima
FusionFestival,Fusion Festival
50Mixed,50 Mixed
NoAgenda,No Agenda
WhiteGenocide,White Genocide
dirtylying,dirty lying
SyrianRefugees,Syrian Refugees
changetheworld,change the world
Ebolacase,Ebola case
mcgtech,mcg technologies
withweapons,with weapons
advancedwarfare,advanced warfare
letsFootball,let us Football
LateNiteMix,late night mix
PhilCollinsFeed,Phil Collins
RudyHavenstein,Rudy Havenstein
22PM,22 PM
54am,54 AM
38am,38 AM
OldFolkExplainStuff,Old Folk Explain Stuff
BlacklivesMatter,Black Lives Matter
InsaneLimits,Insane Limits
youcantsitwithus,you cannot sit with us
2k15,2015
TheIran,Iran
JimmyFallon,Jimmy Fallon
AlbertBrooks,Albert Brooks
defense_news,defense news
nuclearrcSA,Nuclear Risk Control Self Assessment
Auspol,Australia Politics
NuclearPower,Nuclear Power
WhiteTerrorism,White Terrorism
truthfrequencyradio,Truth Frequency Radio
ErasureIsNotEquality,Erasure is not equality
ProBonoNews,Pro Bono News
JakartaPost,Jakarta Post
toopainful,too painful
melindahaunton,Melinda Haunton
NoNukes,No Nukes
curryspcworld,Currys PC World
ineedcake,I need cake
blackforestgateau,black forest gateau
BBCOne,BBC One
AlexxPage,Alex Page
jonathanserrie,Jonathan Serrie
SocialJerkBlog,Social Jerk Blog
ChelseaVPeretti,Chelsea Peretti
irongiant,iron giant
RonFunches,Ron Funches
TimCook,Tim Cook
sebastianstanisaliveandwell,Sebastian Stan is alive and well
Madsummer,Mad summer
NowYouKnow,Now you know
concertphotography,concert photography
TomLandry,Tom Landry
showgirldayoff,show girl day off
Yougslavia,Yugoslavia
QuantumDataInformatics,Quantum Data Informatics
FromTheDesk,From The Desk
TheaterTrial,Theater Trial
CatoInstitute,Cato Institute
EmekaGift,Emeka Gift
LetsBe_Rational,Let us be rational
Cynicalreality,Cynical reality
FredOlsenCruise,Fred Olsen Cruise
NotSorry,not sorry
UseYourWords,use your words
WordoftheDay,word of the day
Dictionarycom,Dictionary.com
TheBrooklynLife,The Brooklyn Life
jokethey,joke they
nflweek1picks,NFL week 1 picks
uiseful,useful
JusticeDotOrg,The American Association for Justice
autoaccidents,auto accidents
SteveGursten,Steve Gursten
MichiganAutoLaw,Michigan Auto Law
birdgang,bird gang
nflnetwork,NFL Network
NYDNSports,NY Daily News Sports
RVacchianoNYDN,Ralph Vacchiano NY Daily News
EdmontonEsks,Edmonton Eskimos
david_brelsford,David Brelsford
TOI_India,The Times of India
hegot,he got
SkinsOn9,Skins on 9
sothathappened,so that happened
LCOutOfDoors,LC Out Of Doors
NationFirst,Nation First
IndiaToday,India Today
HLPS,helps
HOSTAGESTHROSW,hostages throw
SNCTIONS,sanctions
BidTime,Bid Time
crunchysensible,crunchy sensible
RandomActsOfRomance,Random acts of romance
MomentsAtHill,Moments at hill
eatshit,eat shit
liveleakfun,live leak fun
SahelNews,Sahel News
abc7newsbayarea,ABC 7 News Bay Area
facilitiesmanagement,facilities management
facilitydude,facility dude
CampLogistics,Camp logistics
alaskapublic,Alaska public
MarketResearch,Market Research
AccuracyEsports,Accuracy Esports
TheBodyShopAust,The Body Shop Australia
yychail,Calgary hail
yyctraffic,Calgary traffic
eliotschool,eliot school
TheBrokenCity,The Broken City
OldsFireDept,Olds Fire Department
RiverComplex,River Complex
fieldworksmells,field work smells
IranElection,Iran Election
glowng,glowing
kindlng,kindling
riggd,rigged
slownewsday,slow news day
MyanmarFlood,Myanmar Flood
abc7chicago,ABC 7 Chicago
copolitics,Colorado Politics
AdilGhumro,Adil Ghumro
netbots,net bots
byebyeroad,bye bye road
massiveflooding,massive flooding
EndofUS,End of United States
35PM,35 PM
greektheatrela,Greek Theatre Los Angeles
76mins,76 minutes
publicsafetyfirst,public safety first
livesmatter,lives matter
myhometown,my hometown
tankerfire,tanker fire
MEMORIALDAY,memorial day
MEMORIAL_DAY,memorial day
instaxbooty,instagram booty
Jerusalem_Post,Jerusalem Post
WayneRooney_INA,Wayne Rooney
VirtualReality,Virtual Reality
OculusRift,Oculus Rift
OwenJones84,Owen Jones
jeremycorbyn,Jeremy Corbyn
paulrogers002,Paul Rogers
mortalkombatx,Mortal Kombat X
mortalkombat,Mortal Kombat
FilipeCoelho92,Filipe Coelho
OnlyQuakeNews,Only Quake News
kostumes,costumes
YEEESSSS,yes
ToshikazuKatayama,Toshikazu Katayama
IntlDevelopment,Intl Development
ExtremeWeather,Extreme Weather
WereNotGruberVoters,We are not gruber voters
NewsThousands,News Thousands
EdmundAdamus,Edmund Adamus
EyewitnessWV,Eye witness WV
PhiladelphiaMuseu,Philadelphia Museum
DublinComicCon,Dublin Comic Con
NicholasBrendon,Nicholas Brendon
Alltheway80s,All the way 80s
FromTheField,From the field
NorthIowa,North Iowa
WillowFire,Willow Fire
MadRiverComplex,Mad River Complex
feelingmanly,feeling manly
stillnotoverit,still not over it
FortitudeValley,Fortitude Valley
CoastpowerlineTramTr,Coast powerline
ServicesGold,Services Gold
NewsbrokenEmergency,News broken emergency
Evaucation,evacuation
leaveevacuateexitbe,leave evacuate exit be
P_EOPLE,PEOPLE
Tubestrike,tube strike
CLASS_SICK,CLASS SICK
localplumber,local plumber
awesomejobsiri,awesome job siri
PayForItHow,Pay for it how
ThisIsAfrica,This is Africa
crimeairnetwork,crime air network
KimAcheson,Kim Acheson
cityofcalgary,City of Calgary
prosyndicate,pro syndicate
660NEWS,660 NEWS
BusInsMagazine,Business Insurance Magazine
wfocus,focus
ShastaDam,Shasta Dam
go2MarkFranco,Mark Franco
StephGHinojosa,Steph Hinojosa
Nashgrier,Nash Grier
NashNewVideo,Nash new video
IWouldntGetElectedBecause,I would not get elected because
SHGames,Sledgehammer Games
bedhair,bed hair
JoelHeyman,Joel Heyman
viaYouTube,via YouTube
Bestnaijamade,bestnaijamade
SOUDELOR,Soudelor
